,size,year,garage
1248,191.0,1917,2
1249,92.0,1950,1
1250,196.0,1968,2
1251,131.0,2003,2
1252,81.0,1968,1
1253,201.0,1974,2
1254,154.0,2003,2
1255,127.0,1931,1
1256,185.0,1994,2
1257,80.0,1922,0
1258,108.0,2005,2
1259,98.0,1969,2
1260,156.0,1999,2
1261,98.0,1956,1
1262,166.0,1957,1
1263,169.0,1919,2
1264,124.0,1998,2
1265,135.0,1999,2
1266,175.0,1910,1
1267,187.0,2008,3
1268,320.0,1935,3
1269,142.0,1958,1
1270,142.0,1979,2
1271,138.0,1968,2
1272,87.0,1965,1
1273,126.0,1959,1
1274,116.0,1910,2
1275,178.0,1948,2
1276,130.0,1972,2
1277,160.0,1967,2
1278,189.0,2002,2
1279,105.0,1920,2
1280,146.0,2002,2
1281,124.0,1990,2
1282,97.0,1977,2
1283,169.0,1971,0
1284,227.0,1919,1
1285,131.0,1939,1
1286,123.0,1963,2
1287,147.0,1964,2
1288,154.0,2000,2
1289,183.0,2006,3
1290,107.0,1964,2
1291,121.0,1972,1
1292,220.0,1892,1
1293,155.0,1976,2
1294,80.0,1955,2
1295,98.0,1968,1
1296,105.0,1963,2
1297,100.0,2005,2
1298,524.0,2008,2
1299,116.0,1959,1
1300,184.0,1999,2
1301,139.0,1942,1
1302,235.0,1994,3
1303,150.0,2005,3
1304,159.0,2004,2
1305,153.0,2006,2
1306,127.0,2005,2
1307,92.0,1994,2
1308,104.0,1948,2
1309,120.0,1991,2
1310,177.0,1959,2
1311,118.0,2005,2
1312,261.0,1990,2
1313,241.0,1999,3
1314,88.0,1954,1
1315,196.0,1969,2
1316,151.0,2008,3
1317,126.0,2006,2
1318,166.0,2001,3
1319,88.0,1954,1
1320,137.0,1957,2
1321,67.0,1949,1
1322,179.0,1992,2
1323,66.0,1940,0
1324,167.0,2006,3
1325,74.0,1922,0
1326,72.0,1931,0
1327,76.0,1982,1
1328,259.0,1920,2
1329,152.0,1998,2
1330,148.0,2006,3
1331,89.0,1976,2
1332,76.0,1938,1
1333,126.0,1938,1
1334,127.0,1970,2
1335,124.0,1977,2
1336,154.0,1973,2
1337,64.0,1941,0
1338,173.0,2002,2
1339,80.0,1972,1
1340,81.0,1971,4
1341,103.0,2003,2
1342,202.0,2002,2
1343,178.0,1928,2
1344,135.0,2006,2
1345,89.0,1920,1
1346,200.0,1968,2
1347,165.0,2006,3
1348,139.0,1998,2
1349,219.0,1872,0
1350,245.0,1969,4
1351,159.0,1962,2
1352,109.0,1937,2
1353,301.0,1995,3
1354,173.0,2000,3
1355,178.0,1968,2
1356,83.0,1966,1
1357,100.0,1971,2
1358,146.0,2000,2
1359,184.0,2004,3
1360,242.0,1921,2
1361,142.0,2005,2
1362,161.0,1920,1
1363,131.0,2006,2
1364,111.0,2005,2
1365,156.0,2000,2
1366,166.0,1999,2
1367,137.0,1977,1
1368,79.0,2003,2
1369,155.0,2003,2
1370,128.0,1920,1
1371,154.0,1955,1
1372,195.0,1998,2
1373,245.0,2001,3
1374,182.0,2005,3
1375,146.0,2007,3
1376,73.0,1930,1
1377,149.0,1941,2
1378,92.0,1973,1
1379,130.0,2006,2
1380,80.0,1914,1
1381,197.0,1970,2
1382,164.0,1920,2
1383,132.0,1918,2
1384,117.0,1939,1
1385,107.0,1922,1
1386,259.0,1978,2
1387,235.0,1916,1
1388,162.0,2006,3
1389,113.0,1941,2
1390,142.0,2000,2
1391,147.0,1967,3
1392,84.0,1967,1
1393,178.0,1905,2
1394,139.0,2006,3
1395,231.0,2005,3
1396,157.0,1948,2
1397,141.0,1920,1
1398,177.0,1950,1
1399,149.0,1925,1
1400,108.0,1929,1
1401,148.0,2004,2
1402,120.0,2006,2
1403,136.0,2007,3
1404,113.0,1915,3
1405,153.0,2004,2
1406,71.0,1972,2
1407,77.0,1985,0
1408,127.0,1910,2
1409,194.0,1986,2
1410,171.0,2001,2
1411,155.0,1950,1
1412,97.0,1949,2
1413,171.0,2005,2
1414,172.0,1923,2
1415,146.0,2007,3
1416,213.0,1885,2
1417,228.0,1998,3
1418,106.0,1963,1
1419,171.0,1969,2
1420,132.0,1968,2
1421,99.0,1977,2
1422,79.0,2003,2
1423,204.0,1966,2
1424,125.0,1958,1
1425,116.0,1959,2
1426,198.0,1994,2
1427,145.0,1945,1
1428,75.0,1940,1
1429,134.0,1981,2
1430,171.0,2005,2
1431,89.0,1976,2
1432,90.0,1927,1
1433,166.0,2000,2
1434,105.0,1977,2
1435,143.0,1962,2
1436,80.0,1971,2
1437,179.0,2008,3
1438,115.0,1957,2
1439,160.0,1979,2
1440,237.0,1922,2
1441,79.0,2004,2
1442,186.0,2008,3
1443,88.0,1916,1
1444,132.0,2004,2
1445,85.0,1966,1
1446,110.0,1962,1
1447,194.0,1995,2
1448,125.0,1910,1
1449,59.0,1970,0
1450,166.0,1974,0
1451,147.0,2008,3
1452,100.0,2005,2
1453,106.0,2006,0
1454,113.0,2004,2
1455,153.0,1999,2
1456,193.0,1978,2
1457,217.0,1941,1
1458,100.0,1950,1
1459,117.0,1965,1
